id,parent_id,nivel,nombre_en,nombre_es,definicion_es,description_en,color_base,color,categories
1,,0,Fruity,Frutal,"Mezcla aromática dulce, floral, de una variedad de frutas maduras.","Sweet, floral aromatic blend of a variety of ripe fruits.",#a4485c,#a4485c,"[""aromatics""]"
2,1,1,Berry,Baya,"Aromático dulce, ácido, floral, a veces pesado, asociado a bayas como moras, frambuesas, arándanos o fresas.","Sweet, sour, floral, sometimes heavy aromatic associated with berries such as blackberries, raspberries, blueberries or strawberries.",#a4485c,#af5e70,"[""aromatics""]"
3,2,2,Strawberry,Fresa,"Aromático algo dulce, ligeramente ácido, floral, frutal, frecuentemente avinado, asociado a la fresa.","Somewhat sweet, slightly sour, floral, fruity, often winey aromatic associated with strawberry.",#a4485c,#ba7483,"[""aromatics""]"
4,2,2,Raspberry,Frambuesa,"Aromático ligeramente dulce, frutal, floral, ligeramente ácido y mohoso, asociado a las frambuesas.","Slightly sweet, fruity, floral, slightly sour and musty aromatic associated with raspberries.",#a4485c,#ba7483,"[""aromatics""]"
5,2,2,Blueberry,Arándano,"Aromático ligeramente oscuro, frutal, dulce, ligeramente ácido, mohoso, polvoriento, floral, asociado al arándano.","Slightly dark, fruity, sweet, slightly sour, musty, dusty, floral aromatic associated with blueberry.",#a4485c,#ba7483,"[""aromatics""]"
6,2,2,Blackberry,Mora,"Aromático dulce, oscuro, frutal, floral, ligeramente ácido, algo amaderado, asociado a las moras.","Sweet, dark, fruity, floral, slightly sour, somewhat woody aromatic associated with blackberries.",#a4485c,#ba7483,"[""aromatics""]"
7,1,1,Dried Fruit,Fruta Seca,"Impresión aromática de fruta oscura, dulce y ligeramente marrón, asociada a ciruelas pasas y pasas.","Aromatic impression of dark, sweet, slightly brown fruit associated with prunes and raisins.",#a4485c,#af5e70,"[""aromatics""]"
8,7,2,Raisin,Pasa,"Aromático concentrado, dulce, algo ácido, marrón, frutal, floral, característico de las uvas secas.","Concentrated, sweet, somewhat sour, brown, fruity, floral aromatic characteristic of dried grapes.",#a4485c,#ba7483,"[""aromatics""]"
9,7,2,Prune,Ciruela Pasa,"Impresión aromática de fruta oscura dulce, ligeramente marrón, floral, mohosa y sobremadura, asociada a las ciruelas secas.","Aromatic impression of sweet dark fruit, slightly brown, floral, musty and overripe, associated with prunes.",#a4485c,#ba7483,"[""aromatics""]"
10,1,1,Other Fruit,Otras Frutas,"Aromático dulce, ligero, frutal, algo floral, ácido o verde, que puede incluir manzanas, uvas, melocotones, peras o cerezas.","Sweet, light, fruity, somewhat floral, sour or green aromatic that may include apples, grapes, peaches, pears or cherries.",#a4485c,#af5e70,"[""aromatics""]"
11,10,2,Apple,Manzana,"Aromático dulce, ligero, frutal, algo floral, comúnmente asociado a manzanas frescas o procesadas.","Sweet, light, fruity, somewhat floral aromatic commonly associated with fresh or processed apples.",#a4485c,#ba7483,"[""aromatics""]"
12,10,2,Pear,Pera,"Aromático dulce, ligeramente floral, mohoso, amaderado, frutal, asociado a las peras.","Sweet, slightly floral, musty, woody, fruity aromatic associated with pears.",#a4485c,#ba7483,"[""aromatics""]"
13,10,2,Peach,Melocotón,"Aromático floral, perfumado, frutal, dulce, ligeramente ácido, asociado a los melocotones.","Floral, perfumy, fruity, sweet, slightly sour aromatic associated with peaches.",#a4485c,#ba7483,"[""aromatics""]"
14,10,2,Grape,Uva,"Aromático dulce, frutal, floral, ligeramente ácido, mohoso, comúnmente asociado a las uvas.","Sweet, fruity, floral, slightly sour, musty aromatic commonly associated with grapes.",#a4485c,#ba7483,"[""aromatics""]"
15,10,2,Cherry,Cereza,"Aromático ácido, frutal, ligeramente amargo, floral, asociado a las cerezas.","Sour, fruity, slightly bitter, floral aromatic associated with cherries.",#a4485c,#ba7483,"[""aromatics""]"
16,10,2,Pomegranate,Granada,"Aromático ácido, dulce, frutal, que puede ser algo oscuro, mohoso y terroso, reminiscente de frutas oscuras y raíces como remolacha y zanahoria; puede tener sensación astringente.","Sour, sweet, fruity aromatic that may be somewhat dark, musty and earthy, reminiscent of dark fruits and roots such as beet and carrot; may have an astringent feel.",#a4485c,#ba7483,"[""aromatics""]"
17,10,2,Coconut,Coco,"Aromático ligeramente dulce, a nuez, algo amaderado, asociado al coco.","Slightly sweet, nutty, somewhat woody aromatic associated with coconut.",#a4485c,#ba7483,"[""aromatics""]"
18,10,2,Pineapple,Piña,"Aromático dulce, ligeramente agudo, frutal, asociado a la piña.","Sweet, slightly sharp, fruity aromatic associated with pineapple.",#a4485c,#ba7483,"[""aromatics""]"
19,1,1,Citrus Fruit,Fruta Cítrica,"Aromático cítrico, ácido, astringente, ligeramente dulce, a cáscara, algo floral, que puede incluir limones, limas, pomelos o naranjas.","Citric, sour, astringent, slightly sweet, peely, somewhat floral aromatic that may include lemons, limes, grapefruits or oranges.",#a4485c,#af5e70,"[""aromatics""]"
20,19,2,Lemon,Limón,"Aromático cítrico, ácido, astringente, ligeramente dulce, a cáscara, algo floral, asociado al limón.","Citric, sour, astringent, slightly sweet, peely, somewhat floral aromatic associated with lemon.",#a4485c,#ba7483,"[""aromatics""]"
21,19,2,Grapefruit,Pomelo,"Aromático cítrico, ácido, amargo, astringente, a cáscara, agudo, ligeramente dulce, asociado al pomelo.","Citric, sour, bitter, astringent, peely, sharp, slightly sweet aromatic associated with grapefruit.",#a4485c,#ba7483,"[""aromatics""]"
22,19,2,Orange,Naranja,"Aromático cítrico, dulce, floral, ligeramente ácido, asociado a las naranjas, que puede incluir notas amargas, a cáscara y astringentes.","Citric, sweet, floral, slightly sour aromatic associated with oranges, which may include bitter, peely and astringent notes.",#a4485c,#ba7483,"[""aromatics""]"
23,19,2,Lime,Lima,"Aromático cítrico, ácido, astringente, amargo, verde, a cáscara, agudo y algo floral, asociado a las limas.","Citric, sour, astringent, bitter, green, peely, sharp and somewhat floral aromatic associated with limes.",#a4485c,#ba7483,"[""aromatics""]"
24,,0,Sour/Acid,Ácidos,,,#c2b34a,#c2b34a,"[""main_tastes"",""aromatics""]"
25,24,1,Sour Aromatics,Ácidos Aromáticos,Aromático asociado a la impresión de un producto ácido.,Aromatic associated with the impression of a sour product.,#c2b34a,#c9bc60,"[""aromatics""]"
26,25,2,Acetic Acid,Ácido Acético,"Aromático ácido, astringente, ligeramente punzante, asociado al vinagre.","Sour, astringent, slightly pungent aromatic associated with vinegar.",#c2b34a,#d1c575,"[""aromatics""]"
27,25,2,Butyric Acid,Ácido Butírico,"Aromático ácido, a lácteo fermentado, asociado a ciertos quesos curados como el parmesano.","Sour, fermented-dairy aromatic associated with certain aged cheeses such as parmesan.",#c2b34a,#d1c575,"[""aromatics""]"
28,25,2,Isovaleric Acid,Ácido Isovalérico,"Aromático punzante, ácido, asociado al olor a pies sudados y a ciertos quesos curados como el romano.","Pungent, sour aromatic associated with the smell of sweaty feet and certain aged cheeses such as romano.",#c2b34a,#d1c575,"[""aromatics""]"
29,25,2,Citric Acid,Ácido Cítrico,"Aromático suave, limpio, ácido, con ligeras notas cítricas acompañado de astringencia.","Mild, clean, sour aromatic with light citrus notes accompanied by astringency.",#c2b34a,#d1c575,"[""aromatics""]"
30,25,2,Malic Acid,Ácido Málico,"Aromático ácido, agudo, algo frutal, acompañado de astringencia.","Sour, sharp, somewhat fruity aromatic accompanied by astringency.",#c2b34a,#d1c575,"[""aromatics""]"
31,,0,Alcohol/Fermented,Alcoholes/Fermentados,,,#7d4a6f,#7d4a6f,"[""aromatics"",""defects""]"
32,31,1,Alcohol,Alcohol,"Aromático incoloro, punzante, químico, asociado a destilados o productos de grano.","Colorless, pungent, chemical aromatic associated with distilled or grain products.",#7d4a6f,#8d6080,"[""aromatics""]"
33,32,2,Whiskey,Whisky,Aromático asociado a productos destilados de mosto de grano fermentado.,Aromatic associated with products distilled from fermented grain mash.,#7d4a6f,#9c7592,"[""aromatics""]"
34,32,2,Winey,Avinado,"Aromático agudo, punzante, algo frutal, similar al alcohol, asociado al vino.","Sharp, pungent, somewhat fruity, alcohol-like aromatic associated with wine.",#7d4a6f,#9c7592,"[""aromatics""]"
35,31,1,Fermented,Fermentado,"Aromático punzante, dulce, ligeramente ácido, a veces a levadura, similar al alcohol, característico de frutas o azúcar fermentados o masa sobrefermentada.","Pungent, sweet, slightly sour, sometimes yeasty, alcohol-like aromatic characteristic of fermented fruits or sugar, or overfermented dough.",#7d4a6f,#8d6080,"[""aromatics"",""defects""]"
36,35,2,Overripe/Near fermented,Sobremaduro/Cerca al fermentado,"Aromático dulce, ligeramente ácido, húmedo, terroso, característico de fruta o verdura pasada de su punto óptimo de madurez.","Sweet, slightly sour, damp, earthy aromatic characteristic of fruit or vegetables past their optimal ripeness.",#7d4a6f,#9c7592,"[""defects""]"
37,,0,Green/Vegetative,Verdes/Vegetales,,,#5f8a53,#5f8a53,"[""aromatics"",""defects""]"
38,37,1,Olive Oil,Aceite de oliva,"Aromático ligero, aceitoso, que puede tener notas mantecosas, verdes, picantes, amargas y dulces.","Light, oily aromatic that may have buttery, green, peppery, bitter and sweet notes.",#5f8a53,#729868,"[""aromatics""]"
39,37,1,Raw,Vegetal Crudo,Aromático asociado a productos sin cocinar.,Aromatic associated with uncooked products.,#5f8a53,#729868,"[""aromatics""]"
40,37,1,Green,Verde,"Aromático característico de material vegetal fresco. Puede incluir notas a hoja, enredadera, inmaduro, hierba y vaina.","Aromatic characteristic of fresh plant material. May include leafy, viney, unripe, grassy and peapod notes.",#5f8a53,#729868,"[""aromatics"",""defects""]"
41,40,2,Under-ripe,Biche (Fruto inmaduro),Aromático presente en fruta verde/inmadura.,Aromatic present in green/immature fruit.,#5f8a53,#85a67c,"[""defects""]"
42,40,2,Peapod,Arveja,"Aromático verde dulce, a legumbre, fresco, crudo y terroso.","Sweet green, legume-like, fresh, raw and earthy aromatic.",#5f8a53,#85a67c,"[""aromatics""]"
43,40,2,Fresh,Fresco,"Aromático verde asociado a hierba recién cortada y plantas de hoja, de carácter dulce y punzante.","Green aromatic associated with freshly cut grass and leafy plants, sweet and pungent in character.",#5f8a53,#85a67c,"[""aromatics""]"
44,40,2,Dark Green,"Verde oscuro (Espinaca, acelgas)","Aromático asociado a verduras verdes cocidas como espinaca, kale o judías verdes, que puede incluir elementos amargos, dulces, polvorientos, mohosos o terrosos, con impresión oscura y pesada.","Aromatic associated with cooked green vegetables such as spinach, kale or green beans, which may include bitter, sweet, dusty, musty or earthy elements, with a dark, heavy impression.",#5f8a53,#85a67c,"[""aromatics""]"
45,40,2,Vegetative,Vegetal,"Aromático agudo, ligeramente punzante, asociado a materia vegetal verde como perejil, espinaca o vaina.","Sharp, slightly pungent aromatic associated with green plant matter such as parsley, spinach or peapod.",#5f8a53,#85a67c,"[""aromatics""]"
46,40,2,Hay-like,"Heno, paja","Aromático ligeramente dulce, seco, polvoriento, con ligero carácter verde, asociado a hierbas secas.","Slightly sweet, dry, dusty aromatic with a light green character, associated with dried grasses.",#5f8a53,#85a67c,"[""aromatics""]"
47,40,2,Herb-like,Hierbas,"Aromático asociado a hierbas verdes, que puede caracterizarse como dulce, ligeramente punzante y ligeramente amargo.","Aromatic associated with green herbs, which may be characterized as sweet, slightly pungent and slightly bitter.",#5f8a53,#85a67c,"[""aromatics""]"
48,40,2,Beany,Granos (Frijoles),"Aromático característico de legumbres y derivados, con elementos terrosos, polvorientos, ácidos, amargos, almidonados y verdes/a vaina, a nuez o marrones.","Aromatic characteristic of legumes and their derivatives, with earthy, dusty, sour, bitter, starchy and green/peapod, nutty or brown elements.",#5f8a53,#85a67c,"[""aromatics""]"
49,,0,Earthy,Terrosos,,,#7a5c43,#7a5c43,"[""aromatics"",""defects""]"
50,49,1,Musty/Earthy,Humedad/Almizcle de Tierra,"Aromático algo dulce, pesado, asociado a vegetación en descomposición y tierra negra húmeda.","Somewhat sweet, heavy aromatic associated with decaying vegetation and damp black soil.",#7a5c43,#8a705a,"[""aromatics"",""defects""]"
51,50,2,Musty/Dusty,Humedad/Almizcle del polvo,"Aromático asociado a espacios secos y cerrados como áticos y armarios. Puede tener elementos secos, mohosos, a papel, tierra seca o grano.","Aromatic associated with dry, closed spaces such as attics and closets. May have dry, musty, papery, dry-earth or grain elements.",#7a5c43,#9a8370,"[""aromatics""]"
52,50,2,Moldy/Damp,Mohoso,"Aromático asociado a espacios húmedos y cerrados o sótanos. Puede ser mohoso, agudo y ligeramente verde.","Aromatic associated with damp, closed spaces or basements. May be moldy, sharp and slightly green.",#7a5c43,#9a8370,"[""defects""]"
53,49,1,Woody,Amaderado,"Aromático dulce, marrón, mohoso, oscuro, asociado a la corteza de un árbol.","Sweet, brown, musty, dark aromatic associated with tree bark.",#7a5c43,#8a705a,"[""aromatics""]"
54,49,1,Phenolic,Fenólico,"Aromático descrito como húmedo, mohoso y a piel de animal. Reminiscente de una sala de arreos.","Aromatic described as damp, musty and animal-hide-like. Reminiscent of a tack room.",#7a5c43,#8a705a,"[""defects""]"
55,49,1,Animalic,Animal,Combinación de aromáticos asociados a animales de granja y su hábitat.,Combination of aromatics associated with farm animals and their habitat.,#7a5c43,#8a705a,"[""aromatics""]"
56,49,1,Meaty/Brothy,Cárnicos/Sopas,"Aromático asociado a carne hervida, sopa o caldo, con notas cárnicas débiles.","Aromatic associated with boiled meat, soup or broth, with weak meaty notes.",#7a5c43,#8a705a,"[""aromatics""]"
57,,0,Roasted,Asado/Quemado,Impresión marrón oscura característica de productos cocinados a alta temperatura por calor seco. No incluye notas amargas ni quemadas.,Dark brown impression characteristic of products cooked at high temperature by dry heat. Does not include bitter or burnt notes.,#4a2510,#4a2510,"[""aromatics"",""defects""]"
58,57,1,Tobacco,Tabaco,"Aromático marrón, ligeramente dulce, ligeramente punzante, asociado al tabaco curado.","Brown, slightly sweet, slightly pungent aromatic associated with cured tobacco.",#4a2510,#603f2d,"[""aromatics""]"
59,58,2,Pipe Tobacco,Pipa de Tabaco,"Aromático marrón, dulce, ligeramente punzante, frutal, floral, especiado, asociado al tabaco curado.","Brown, sweet, slightly pungent, fruity, floral, spicy aromatic associated with cured tobacco.",#4a2510,#755949,"[""aromatics""]"
60,57,1,Burnt,Quemado,"Impresión marrón oscura de un producto sobrecocido o sobrerrostizado, que puede ser agudo, amargo y ácido.","Dark brown impression of an overcooked or over-roasted product, which may be sharp, bitter and sour.",#4a2510,#603f2d,"[""defects""]"
61,60,2,Acrid,Acre,"Aromático agudo, punzante, amargo, ácido, asociado a productos excesivamente asados o dorados.","Sharp, pungent, bitter, sour aromatic associated with excessively roasted or browned products.",#4a2510,#755949,"[""defects""]"
